time, value, t-delta
1357999174, 2276, 90
1357999475, 1287, 90
1357999776, 161, 90
1358000077, 143, 90
1358000378, 107, 90
1358000679, 112, 90
1358000980, 105, 90
1358001281, 106, 90
1358001582, 105, 90
1358001882, 105, 90
1358002183, 107, 90
1358002484, 136, 90
1358002785, 160, 90
1358003086, 157, 90
1358003387, 148, 90
1358003688, 106, 90
1358003989, 107, 90
1358004290, 227, 90
1358004591, 176, 90
1358004892, 251, 90
1358005193, 225, 90
1358005494, 225, 90
1358005795, 265, 90
1358006096, 278, 90
1358006397, 302, 90
1358006698, 264, 90
1358006999, 224, 90
1358007300, 223, 90
1358007601, 198, 90
1358007902, 180, 90
1358008203, 182, 90
1358008506, 207, 90
1358008807, 266, 90
1358009109, 359, 90
1358009410, 320, 90
1358009711, 320, 90
1358010012, 309, 90
1358010313, 281, 90
1358010614, 243, 90
1358010915, 214, 90
1358011216, 210, 90
1358011518, 2786, 90
1358011818, 3632, 90
1358012119, 1992, 90
1358012420, 1106, 90
1358012721, 611, 90
1358013022, 281, 90
1358013324, 244, 90
1358013625, 175, 90
1358013926, 224, 90
1358014227, 249, 90
1358014528, 217, 90
1358014829, 219, 90
1358015130, 1650, 90
1358015431, 2367, 90
1358015733, 2322, 90
1358016034, 276, 90
1358016335, 263, 90
1358016636, 219, 90
1358016937, 228, 90
1358017239, 220, 90
1358017540, 789, 90
1358017841, 853, 90
1358018141, 1894, 90
1358018442, 2455, 90
1358018744, 2405, 90
1358019045, 2420, 90
1358019345, 1068, 90
1358019646, 237, 90
1358019947, 211, 90
1358020248, 152, 90
1358020549, 156, 90
1358020850, 152, 90
1358021151, 224, 90
1358021452, 259, 90
1358021753, 261, 90
1358022054, 260, 90
1358022355, 266, 90
1358022656, 320, 90
1358022957, 286, 90
1358023258, 1785, 90
1358023559, 2456, 90
1358023860, 2316, 90
1358024161, 2345, 90
1358024462, 2412, 90
1358024763, 2404, 90
1358025064, 2384, 90
1358025365, 2427, 90
1358025666, 2444, 90
1358026268, 1487, 90
1358026569, 346, 90
1358026870, 322, 90
1358027171, 286, 90
1358027472, 282, 90
1358027773, 286, 90
1358028075, 252, 90
1358028376, 236, 90
1358028677, 224, 90
1358028978, 195, 90
1358029279, 213, 90
1358029580, 257, 90
1358029882, 251, 90
1358030183, 268, 90
1358030484, 268, 90
1358030784, 190, 90
1358031085, 197, 90
1358031387, 192, 90
1358031687, 190, 90
1358031988, 190, 90
1358032289, 189, 90
1358032590, 189, 90
1358032891, 249, 90
1358033192, 246, 90
1358033493, 243, 90
1358033794, 203, 90
1358034095, 197, 90
1358034397, 256, 90
1358034698, 280, 90
1358034999, 258, 90
1358035300, 248, 90
1358035601, 247, 90
1358035902, 246, 90
1358036203, 272, 90
1358036504, 305, 90
1358036805, 284, 90
1358037106, 192, 90
1358037407, 141, 90
1358037708, 107, 90
1358038009, 102, 90
1358038310, 102, 90
1358038611, 103, 90
1358038912, 102, 90
1358039213, 104, 90
1358039514, 102, 90
1358039815, 161, 90
1358040116, 158, 90
1358040417, 157, 90
1358040719, 126, 90
1358041020, 105, 90
1358041321, 103, 90
1358041622, 103, 90
1358041923, 104, 90
1358042224, 109, 90
1358042528, 150, 90
1358042828, 999, 90
1358043129, 2372, 90
1358043430, 1524, 90
1358043731, 204, 90
1358044032, 201, 90
1358044333, 148, 90
1358044634, 145, 90
1358044935, 132, 90
1358045236, 103, 90
1358045537, 104, 90
1358045838, 103, 90
1358046139, 102, 90
1358046440, 104, 90
1358046741, 150, 90
1358047042, 160, 90
1358047343, 164, 90
1358047644, 130, 90
1358047945, 103, 90
1358048246, 104, 90
1358048547, 103, 90
1358048848, 102, 90
1358049149, 103, 90
1358049450, 103, 90
1358049750, 103, 90
1358050051, 122, 90
1358050352, 163, 90
1358050653, 193, 90
1358050954, 202, 90
1358051255, 157, 90
1358051561, 150, 90
1358051865, 149, 90
1358052166, 149, 90
1358052467, 149, 90
1358052768, 146, 90
1358053071, 147, 90
1358053372, 124, 90
1358053673, 150, 90
1358053974, 166, 90
1358054275, 160, 90
1358054576, 148, 90
1358054877, 102, 90
1358055178, 103, 90
1358055479, 102, 90
1358055780, 103, 90
1358056081, 102, 90
1358056382, 102, 90
1358056683, 103, 90
1358056984, 103, 90
1358057285, 166, 90
1358057586, 159, 90
1358057887, 158, 90
1358058188, 111, 90
1358058489, 102, 90
1358058790, 146, 90
1358059091, 147, 90
1358059392, 160, 90
1358059693, 153, 90
1358059994, 178, 90
1358060294, 183, 90
1358060595, 227, 90
1358060896, 233, 90
1358061197, 224, 90
1358061499, 160, 90
1358061800, 106, 90
1358062101, 108, 90
1358062402, 106, 90
1358062703, 1451, 90
1358063004, 120, 90
1358063305, 221, 90
1358063606, 1084, 90
1358063907, 2361, 90
1358064208, 2122, 90
